Taxonomy,SRR12918151,SRR12666050,SRR8512247,SRR11600161,SRR2638364,SRR3546452,SRR2090166,SRR6213089,SRR13662871,ERR4388078,SRR3546451,SRR11614986,SRR3546450,ERR3281039,SRR2638363,ERR3281022,ERR3281035,SRR2638370,SRR4388699,SRR3546456,SRR2090171,SRR6213120,SRR12926096,SRR3546449,SRR2638366,SRR8512251,SRR2638365,ERR3281040,ERR3281024,SRR10419845,SRR13662870,SRR6222115,SRR11600163,SRR2090174,SRR3546454,SRR6212576,SRR9644741,SRR11600162,ERR3281025,SRR8512249,SRR11844739,SRR6222539,SRR8512248,SRR2090165,ERR3281029,ERR3281041,ERR3281026,SRR8797411,SRR13554776,ERR3281030,SRR13554773,SRR2090175,ERR4388077,SRR6209370,SRR10992210,SRR6231011,SRR2638367,SRR11844738,ERR3281027,ERR3281037,SRR2090173,SRR557815,SRR13554778,SRR6211631,SRR6213885,ERR3281023,SRR8797413,SRR8512245,SRR8797414,SRR8797412,SRR2090172,SRR8512250,SRR6208705,SRR3546457,ERR2191546,SRR2090169,SRR3546453,SRR6222305,SRR13554777,SRR11844740,SRR2638368,SRR12918152,SRR9644739,ERR3281034,SRR10992209,SRR4389352,SRR11614987,ERR3281033,ERR4388079,ERR3281031,SRR4389122,SRR9644742,SRR11844785,SRR9644740,ERR3281028,SRR2090170,SRR8512246,ERR3281032,SRR2090167,SRR11844784,SRR13554775,SRR11614988,SRR2638369,SRR11844736,ERR4388080,SRR2090164,SRR2090168,SRR6231012,SRR11844737,ERR3281021,ERR3281038,SRR7912025,ERR3281036
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;Methanobacterium kanagiense;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Erysipelothrix;Erysipelothrix rhusiopathiae str. Fujisawa;,4,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,27,1,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira;Lactobacillus rogosae;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Natronocella;Natronocella acetinitrilica;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Fungi;Basidiomycota;Agaricomycotina;Agaricomycetes;Stephanospora;Stephanospora;Stephanospora caroticolor;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium intestinale;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI Incertae Sedis;Helcococcus;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Archaea;,3,0,1,632,387,0,22,0,55,0,0,445,2,2,366,175,0,282,226,798,7,18,2,2,418,2,346,0,325,64,154,0,551,3,2,5,33,543,52,0,0,0,0,72,86,69,17,35,1,33,0,0,0,0,4,78,259,0,249,11,31,1,0,0,0,60,192,0,2,58,5,0,0,608,144,11,0,0,29,4,321,1,92,21,0,7,200,17,0,0,67,22,0,1,77,90,1,0,29,23,0,216,302,0,0,86,55,2,1,180,29,6,0
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Kangiella;,0,0,0,0,15,0,0,0,0,0,0,0,0,0,23,0,1,29,0,0,0,0,0,0,17,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,9,0,2,5,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Salmonella;Salmonella enterica subsp. enterica serovar Gallinarum/pullorum str.;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
