Resistance-Type;Gene	DSgene	Sample	Abundance
Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR12666050	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR2638368	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	ERR3281031	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR2090164	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR3546451	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR3546457	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR12926096	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	ERR3281037	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR11600161	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR7912025	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	ERR3281023	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR2638364	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	ERR3281036	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	ERR3281032	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	ERR3281030	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR10992209	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR8512247	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	ERR3281024	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR11600162	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR6213089	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	ERR3281027	0

Beta-Lactam Resistance;blaOXA	 blaOXA-392_1_AB901044	SRR2638369	0

